class,precision,recall,f1,support,weighted_contribution
no_distortion,0.6074766355140186,0.6842105263157895,0.6435643564356436,95,0.24165460024263297
emotional_reasoning,0.05,0.07692307692307693,0.06060606060606061,13,0.0031141454066355256
overgeneralization,0.09090909090909091,0.041666666666666664,0.05714285714285714,24,0.005420666290231507
mental_filter,0.2,0.23076923076923078,0.21428571428571427,13,0.01101072840203275
should_statements,0.125,0.09090909090909091,0.10526315789473684,11,0.004576659038901602
all_or_nothing,0.0,0.0,0.0,10,0.0
mind_reading,0.18421052631578946,0.35,0.2413793103448276,20,0.01908136840670574
fortune_telling,0.3,0.1875,0.23076923076923078,16,0.01459410155062329
magnification,0.1875,0.15789473684210525,0.17142857142857143,19,0.01287408243929983
personalization,0.21428571428571427,0.1875,0.2,16,0.012648221343873518
labeling,0.09090909090909091,0.0625,0.07407407407407407,16,0.0046845264236568575
